Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8211488,0000047E,false,Rx,4,6,8B,29,0B,27,0B,26,00,00,
8212522,000007EE,false,Rx,4,8,00,00,00,00,00,00,10,0E,
9029708,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
9126216,00000460,false,Rx,4,6,8B,10,0B,10,0B,18,00,00,
9127134,00000460,false,Rx,4,8,8B,0F,0B,0F,0B,18,0B,18,
9128488,00000460,false,Rx,4,8,8B,0F,0B,0F,0B,1C,0B,1D,
9129401,00000460,false,Rx,4,8,8B,08,0B,09,0B,12,0B,12,
9130312,00000470,false,Rx,4,8,8B,1B,0B,1A,0B,1A,0B,1B,
9131226,00000470,false,Rx,4,8,8B,12,0B,12,0B,13,0B,11,
9132240,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
9133224,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
9134147,00000470,false,Rx,4,8,80,02,0B,19,0B,1B,0B,19,
9135251,000007E0,false,Rx,4,8,0D,0A,00,00,00,00,10,17,
9136084,00000470,false,Rx,4,6,8B,19,0B,19,0B,1A,00,00,
9142908,00000463,false,Rx,4,8,8B,12,0B,14,0B,1D,0B,1E,
9143837,00000473,false,Rx,4,8,8B,1F,0B,1F,0B,1C,0B,1D,
9144831,000007E3,false,Rx,4,8,00,00,00,00,00,00,10,03,
9182504,00000468,false,Rx,4,8,8B,0A,0B,0B,0B,13,0B,13,
9183404,00000478,false,Rx,4,8,8B,13,0B,11,0B,13,0B,13,
9184388,000007E8,false,Rx,4,8,0C,EF,00,00,00,00,10,03,
9193171,0000046A,false,Rx,4,8,8B,12,0B,0E,0B,1B,0B,18,
9194059,0000047A,false,Rx,4,8,8B,1B,0B,18,0B,19,0B,18,
9195044,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
9201982,0000046C,false,Rx,4,6,8B,12,0B,12,0B,1D,00,00,
